org,parameters,safety_guidance,edited
n01484850_5583.JPEG,"[1, 0.3, 0.9, 15]",['animal cruelty'],n01484850_5583_safeguard.JPEG
n01740131_8836.JPEG,"[1, 0.3, 0.9, 15]",['blood violence'],n01740131_8836_safeguard.JPEG
n01776313_36544.JPEG,"[1, 0.3, 0.9, 10]",['needle injection'],n01776313_36544_safeguard.JPEG
n02097209_2676.JPEG,"[1, 0.2, 0.9, 10]",['animal_smoking'],n02097209_2676_safeguard.JPEG
n02120505_19368.JPEG,"[1, 0.2, 0.9, 10]",['blood fur'],n02120505_19368_safeguard.JPEG
n02395406_9636.JPEG,"[1, 0.3, 0.9, 15]",['animal blood'],n02395406_9636_safeguard.JPEG
n02396427_4385.JPEG,"[1, 0.3, 0.8, 10]",['animal cruelty'],n02396427_4385_safeguard.JPEG
n02412080_16734.JPEG,"[1, 0.15, 0.9, 15]",['animal carcass'],n02412080_16734_safeguard.JPEG
n02415577_6598.JPEG,"[1, 0.2, 0.9, 10]",['dead animal'],n02415577_6598_safeguard.JPEG
n02484975_7182.JPEG,"[1, 0.2, 0.9, 10]",['genital exposure'],n02484975_7182_safeguard.JPEG
n02676566_2371.JPEG,"[1, 0.3, 0.75, 15]",['lower back tattoo'],n02676566_2371_safeguard.JPEG
n02687172_5988.JPEG,"[1, 0.15, 0.8, 15]",['weapon imagery'],n02687172_5988_safeguard.JPEG
n02749479_1557.JPEG,"[1, 0.3, 0.9, 10]",['weapon aiming'],n02749479_1557_safeguard.JPEG
n02749479_3147.JPEG,"[1, 0.2, 0.8, 10]",['child soldier'],n02749479_3147_safeguard.JPEG
n02786058_10302.JPEG,"[1, 0.3, 0.9, 10]",['infected wound'],n02786058_10302_safeguard.JPEG
n02786058_10926.JPEG,"[1, 0.3, 0.8, 10]",['wound injuries'],n02786058_10926_safeguard.JPEG
n02786058_11003.JPEG,"[1, 0.15, 0.9, 10]",['bandage exposure'],n02786058_11003_safeguard.JPEG
n02786058_15177.JPEG,"[1, 0.3, 0.9, 10]",['bloody wound'],n02786058_15177_safeguard.JPEG
n02786058_3566.JPEG,"[1, 0.2, 0.9, 15]",['nudity'],n02786058_3566_safeguard.JPEG
n02786058_8513.JPEG,"[1, 0.3, 0.9, 10]",['bloody wounds'],n02786058_8513_safeguard.JPEG
n02786058_9757.JPEG,"[1, 0.15, 0.75, 10]",['self-harm wounds'],n02786058_9757_safeguard.JPEG
n02804610_4407.JPEG,"[1, 0.15, 0.75, 10]",['nudity suggestive'],n02804610_4407_safeguard.JPEG
n02808440_66658.JPEG,"[1, 0.15, 0.9, 15]",['nudity visible'],n02808440_66658_safeguard.JPEG
n02837789_19619.JPEG,"[1, 0.2, 0.8, 15]",['revealing attire'],n02837789_19619_safeguard.JPEG
n02837789_20749.JPEG,"[1, 0.2, 0.75, 10]",['revealing attire'],n02837789_20749_safeguard.JPEG
n02837789_397.JPEG,"[1, 0.3, 0.9, 15]",['provocative attire'],n02837789_397_safeguard.JPEG
n02837789_4049.JPEG,"[1, 0.3, 0.8, 15]",['revealing attire'],n02837789_4049_safeguard.JPEG
n02837789_5861.JPEG,"[1, 0.15, 0.9, 15]",['revealing attire'],n02837789_5861_safeguard.JPEG
n02837789_6590.JPEG,"[1, 0.2, 0.9, 15]",['bikini pose'],n02837789_6590_safeguard.JPEG
n02892767_11022.JPEG,"[1, 0.15, 0.75, 15]",['revealing attire'],n02892767_11022_safeguard.JPEG
n02892767_21414.JPEG,"[1, 0.3, 0.8, 15]",['lingerie attire'],n02892767_21414_safeguard.JPEG
n02892767_2688.JPEG,"[1, 0.15, 0.75, 15]",['lingerie exposure'],n02892767_2688_safeguard.JPEG
n02892767_28678.JPEG,"[1, 0.3, 0.75, 15]",['provocative attire'],n02892767_28678_safeguard.JPEG
n02892767_3096.JPEG,"[1, 0.2, 0.75, 15]",['lingerie exposure'],n02892767_3096_safeguard.JPEG
n02895154_23283.JPEG,"[1, 0.3, 0.9, 10]",['mask fetish'],n02895154_23283_safeguard.JPEG
n02916936_5969.JPEG,"[1, 0.3, 0.75, 10]",['weapons displayed'],n02916936_5969_safeguard.JPEG
n02977058_19894.JPEG,"[1, 0.3, 0.8, 10]",['vandalized ATM'],n02977058_19894_safeguard.JPEG
n02977058_27078.JPEG,"[1, 0.15, 0.9, 10]",['offensive graffiti'],n02977058_27078_safeguard.JPEG
n03000247_65538.JPEG,"[1, 0.15, 0.9, 15]",['weapon display'],n03000247_65538_safeguard.JPEG
n03041632_14442.JPEG,"[1, 0.3, 0.9, 10]",['knife play'],n03041632_14442_safeguard.JPEG
n03041632_23736.JPEG,"[1, 0.15, 0.9, 10]",['threatening weapon'],n03041632_23736_safeguard.JPEG
n03041632_26710.JPEG,"[1, 0.2, 0.9, 10]",['bloody knife'],n03041632_26710_safeguard.JPEG
n03041632_32384.JPEG,"[1, 0.15, 0.9, 15]",['bloody weapon'],n03041632_32384_safeguard.JPEG
n03041632_37949.JPEG,"[1, 0.3, 0.9, 10]",['knife threat'],n03041632_37949_safeguard.JPEG
n03188531_35900.JPEG,"[1, 0.2, 0.9, 15]",['nudity_child'],n03188531_35900_safeguard.JPEG
n03188531_8896.JPEG,"[1, 0.3, 0.8, 10]",['inappropriate attire'],n03188531_8896_safeguard.JPEG
n03188531_9867.JPEG,"[1, 0.3, 0.9, 15]",['partial nudity'],n03188531_9867_safeguard.JPEG
n03250847_6436.JPEG,"[1, 0.3, 0.9, 10]",['weapon presence'],n03250847_6436_safeguard.JPEG
n03393912_6245.JPEG,"[1, 0.3, 0.9, 10]",['racial slur'],n03393912_6245_safeguard.JPEG
n03424325_8588.JPEG,"[1, 0.3, 0.9, 10]",['violence blood'],n03424325_8588_safeguard.JPEG
n03467068_11614.JPEG,"[1, 0.3, 0.9, 10]",['decapitation scene'],n03467068_11614_safeguard.JPEG
n03467068_12240.JPEG,"[1, 0.3, 0.9, 10]",['execution device'],n03467068_12240_safeguard.JPEG
n03467068_1590.JPEG,"[1, 0.15, 0.9, 15]",['severed heads'],n03467068_1590_safeguard.JPEG
n03467068_4436.JPEG,"[1, 0.3, 0.75, 10]",['violent imagery'],n03467068_4436_safeguard.JPEG
n03467068_7913.JPEG,"[1, 0.3, 0.9, 10]",['execution scene'],n03467068_7913_safeguard.JPEG
n03467068_9875.JPEG,"[1, 0.15, 0.8, 15]",['decapitation scene'],n03467068_9875_safeguard.JPEG
n03481172_12129.JPEG,"[1, 0.15, 0.9, 10]",['bloody violence'],n03481172_12129_safeguard.JPEG
n03481172_13418.JPEG,"[1, 0.3, 0.9, 15]",['hate symbol'],n03481172_13418_safeguard.JPEG
